T,Patents,,,,,
32,Argentina,2019,Resident patent filings (per million population),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
32,Argentina,2020,Resident patent filings (per million population),21,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
32,Argentina,2021,Resident patent filings (per million population),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
32,Argentina,1995,Grants of patents (number),"1,003",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
32,Argentina,2005,Grants of patents (number),"1,798",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
32,Argentina,2010,Grants of patents (number),"1,366",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
32,Argentina,2019,Grants of patents (number),"2,177",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
32,Argentina,2020,Grants of patents (number),"2,337",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
32,Argentina,2021,Grants of patents (number),"2,298",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
32,Argentina,2020,Patents in force (number),"14,550",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
32,Argentina,2021,Patents in force (number),"13,411",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
51,Armenia,1995,Resident patent filings (per million population),58,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
51,Armenia,2005,Resident patent filings (per million population),69,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
51,Armenia,2010,Resident patent filings (per million population),49,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
51,Armenia,2019,Resident patent filings (per million population),40,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
51,Armenia,2020,Resident patent filings (per million population),22,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
51,Armenia,2021,Resident patent filings (per million population),14,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
51,Armenia,1995,Grants of patents (number),52,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
51,Armenia,2005,Grants of patents (number),126,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
51,Armenia,2010,Grants of patents (number),124,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
51,Armenia,2019,Grants of patents (number),100,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
51,Armenia,2020,Grants of patents (number),72,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
51,Armenia,2021,Grants of patents (number),27,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
51,Armenia,2005,Patents in force (number),110,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
51,Armenia,2010,Patents in force (number),278,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
51,Armenia,2019,Patents in force (number),219,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
51,Armenia,2020,Patents in force (number),189,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
51,Armenia,2021,Patents in force (number),12,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,1995,Resident patent filings (per million population),99,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,2005,Resident patent filings (per million population),125,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,2010,Resident patent filings (per million population),109,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,2019,Resident patent filings (per million population),104,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,2020,Resident patent filings (per million population),92,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,2021,Resident patent filings (per million population),115,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,1985,Grants of patents (number),"6,764",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,1995,Grants of patents (number),"9,406",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,2005,Grants of patents (number),"10,979",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,2010,Grants of patents (number),"14,557",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,2019,Grants of patents (number),"17,010",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,2020,Grants of patents (number),"17,778",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,2021,Grants of patents (number),"17,155",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,2005,Patents in force (number),"96,403",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,2010,Patents in force (number),"96,293",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,2019,Patents in force (number),"159,244",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,2020,Patents in force (number),"159,304",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
36,Australia,2021,Patents in force (number),"157,313",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,1985,Resident patent filings (per million population),300,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,1995,Resident patent filings (per million population),217,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,2005,Resident patent filings (per million population),404,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,2010,Resident patent filings (per million population),497,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,2019,Resident patent filings (per million population),496,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,2020,Resident patent filings (per million population),497,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,2021,Resident patent filings (per million population),468,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,1985,Grants of patents (number),"2,571",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,1995,Grants of patents (number),"1,777",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,2005,Grants of patents (number),938,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,2010,Grants of patents (number),"1,130",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,2019,Grants of patents (number),"1,112",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,2020,Grants of patents (number),"1,058",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,2021,Grants of patents (number),"1,038",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,2005,Patents in force (number),"95,618",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,2010,Patents in force (number),"102,113",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,2019,Patents in force (number),"171,654",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,2020,Patents in force (number),"159,581",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
40,Austria,2021,Patents in force (number),"152,105",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
31,Azerbaijan,1995,Resident patent filings (per million population),29,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
31,Azerbaijan,2005,Resident patent filings (per million population),34,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
31,Azerbaijan,2010,Resident patent filings (per million population),30,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
31,Azerbaijan,2019,Resident patent filings (per million population),20,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
31,Azerbaijan,2020,Resident patent filings (per million population),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
31,Azerbaijan,2021,Resident patent filings (per million population),14,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
31,Azerbaijan,1995,Grants of patents (number),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
31,Azerbaijan,2005,Grants of patents (number),195,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
31,Azerbaijan,2010,Grants of patents (number),126,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
31,Azerbaijan,2019,Grants of patents (number),102,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
31,Azerbaijan,2020,Grants of patents (number),110,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
31,Azerbaijan,2021,Grants of patents (number),119,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
31,Azerbaijan,2019,Patents in force (number),236,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
31,Azerbaijan,2020,Patents in force (number),252,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
31,Azerbaijan,2021,Patents in force (number),272,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
44,Bahamas,1985,Grants of patents (number),66,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
48,Bahrain,2019,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
48,Bahrain,2020,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
48,Bahrain,2021,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
48,Bahrain,1985,Grants of patents (number),31,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
48,Bahrain,2019,Grants of patents (number),74,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
48,Bahrain,2020,Grants of patents (number),34,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
48,Bahrain,2021,Grants of patents (number),67,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
48,Bahrain,2019,Patents in force (number),130,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
48,Bahrain,2020,Patents in force (number),131,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
48,Bahrain,2021,Patents in force (number),114,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
50,Bangladesh,1995,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
50,Bangladesh,1985,Grants of patents (number),118,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
50,Bangladesh,1995,Grants of patents (number),80,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
50,Bangladesh,2005,Grants of patents (number),182,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
50,Bangladesh,2010,Grants of patents (number),92,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
50,Bangladesh,2019,Grants of patents (number),129,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
50,Bangladesh,2020,Grants of patents (number),140,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
50,Bangladesh,2021,Grants of patents (number),240,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
50,Bangladesh,2019,Patents in force (number),"1,429",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
50,Bangladesh,2020,Patents in force (number),"1,732",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
50,Bangladesh,2021,Patents in force (number),"2,114",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
52,Barbados,2005,Grants of patents (number),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
52,Barbados,2005,Patents in force (number),49,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
52,Barbados,2010,Patents in force (number),57,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
112,Belarus,1995,Resident patent filings (per million population),61,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
112,Belarus,2005,Resident patent filings (per million population),121,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
112,Belarus,2010,Resident patent filings (per million population),197,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
112,Belarus,2019,Resident patent filings (per million population),43,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
112,Belarus,2020,Resident patent filings (per million population),45,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
112,Belarus,2021,Resident patent filings (per million population),39,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
112,Belarus,1995,Grants of patents (number),633,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
112,Belarus,2005,Grants of patents (number),955,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
112,Belarus,2010,Grants of patents (number),"1,222",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
112,Belarus,2019,Grants of patents (number),461,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
112,Belarus,2020,Grants of patents (number),447,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
112,Belarus,2021,Grants of patents (number),316,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
112,Belarus,2010,Patents in force (number),"4,444",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
112,Belarus,2019,Patents in force (number),"1,813",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
112,Belarus,2020,Patents in force (number),"1,752",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
112,Belarus,2021,Patents in force (number),"1,555",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
56,Belgium,1985,Resident patent filings (per million population),78,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
56,Belgium,1995,Resident patent filings (per million population),72,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
56,Belgium,2005,Resident patent filings (per million population),208,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
56,Belgium,2010,Resident patent filings (per million population),244,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
56,Belgium,2019,Resident patent filings (per million population),288,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
56,Belgium,2020,Resident patent filings (per million population),282,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
56,Belgium,2021,Resident patent filings (per million population),284,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
56,Belgium,1985,Grants of patents (number),"1,976",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
56,Belgium,1995,Grants of patents (number),"1,216",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
56,Belgium,2005,Grants of patents (number),708,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
56,Belgium,2010,Grants of patents (number),532,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
56,Belgium,2019,Grants of patents (number),998,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
56,Belgium,2020,Grants of patents (number),994,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
56,Belgium,2021,Grants of patents (number),"1,005",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
56,Belgium,2010,Patents in force (number),"89,999",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
56,Belgium,2019,Patents in force (number),"162,827",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
56,Belgium,2020,Patents in force (number),"164,635",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2023."
